minor_group_soc,minor_group_title,soc_code,occupation_title,median_wage_2022,typical_education_for_entry,typical_on_the_job_training,source
51-2000,Assemblers and Fabricators,51-2021,"Coil winders, tapers, and finishers",43160,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-2000,Assemblers and Fabricators,51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",38580,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-2000,Assemblers and Fabricators,51-2031,Engine and other machine assemblers,50850,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-2000,Assemblers and Fabricators,51-2041,Structural metal fabricators and fitters,47200,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-2000,Assemblers and Fabricators,51-2051,Fiberglass laminators and fabricators,38110,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-2000,Assemblers and Fabricators,51-2061,Timing device assemblers and adjusters,42290,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-2000,Assemblers and Fabricators,51-2090,Miscellaneous assemblers and fabricators,37280,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9011,Chemical equipment operators and tenders,49330,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",46250,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",43290,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9022,"Grinding and polishing workers, hand",36960,No formal educational credential,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9023,"Mixing and blending machine setters, operators, and tenders",43410,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9031,"Cutters and trimmers, hand",36130,No formal educational credential,Short-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9032,"Cutting and slicing machine setters, operators, and tenders",39880,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",39480,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
51-9000,Other Production Occupations,51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",44530,High school diploma or equivalent,Moderate-term,upjohn_naatbatt_2023
